year,age,education,jobclass,health,health_ins,wage
2007,45,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.79134808101333
2007,56,2. HS Grad,1. Industrial,1. <=Good,2. No,99.69162839707211
2009,40,4. College Grad,2. Information,2. >=Very Good,2. No,114.47571329034717
2006,71,1. < HS Grad,1. Industrial,1. <=Good,2. No,89.2428846644714
2006,30,2. HS Grad,1. Industrial,1. <=Good,2. No,118.88435933988579
2004,45,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2004,41,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2003,40,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2004,59,1. < HS Grad,2. Information,1. <=Good,1. Yes,89.16782866707777
2007,46,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2003,38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.47601964694451
2007,26,3. Some College,1. Industrial,2. >=Very Good,1. Yes,93.48669204295967
2005,53,2. HS Grad,2. Information,1. <=Good,1. Yes,70.47601964694451
2004,46,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2007,42,3. Some College,1. Industrial,2. >=Very Good,1. Yes,98.59934386038917
2006,28,3. Some College,1. Industrial,1. <=Good,2. No,54.598150033144236
2004,30,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,86.69515482894022
2008,34,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2008,46,4. College Grad,1. Industrial,1. <=Good,2. No,160.6424754082633
2007,22,3. Some College,1. Industrial,1. <=Good,2. No,59.097064081589075
2007,37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,92.72952790913536
2008,27,3. Some College,1. Industrial,1. <=Good,1. Yes,63.18886100374613
2008,52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2008,43,2. HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153447
2004,52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2005,54,3. Some College,2. Information,1. <=Good,1. Yes,109.48984145217389
2007,47,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2005,21,3. Some College,2. Information,2. >=Very Good,1. Yes,105.92781077506274
2005,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2003,72,5. Advanced Degree,2. Information,1. <=Good,1. Yes,189.244162932803
2003,38,2. HS Grad,2. Information,1. <=Good,1. Yes,104.92150653366392
2009,53,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,82.6796372966372
2006,35,3. Some College,2. Information,2. >=Very Good,2. No,81.28325328425272
2008,60,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,76.89360251761123
2003,39,2. HS Grad,2. Information,2. >=Very Good,1. Yes,85.38394037898266
2005,45,2. HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2008,61,2. HS Grad,2. Information,1. <=Good,1. Yes,106.60802149353191
2008,64,2. HS Grad,2. Information,1. <=Good,1. Yes,95.23071256698191
2004,39,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.47601964694451
2007,46,3. Some College,2. Information,1. <=Good,1. Yes,105.92781077506274
2008,25,3. Some College,2. Information,2. >=Very Good,2. No,56.45386497541877
2003,80,3. Some College,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2008,51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,105.92781077506274
2004,58,2. HS Grad,1. Industrial,1. <=Good,1. Yes,75.04315401735154
2009,52,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2004,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,138.29912692088266
2007,41,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2004,42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,95.23071256698191
2008,31,3. Some College,1. Industrial,1. <=Good,1. Yes,94.07271474570051
2004,49,2. HS Grad,2. Information,2. >=Very Good,1. Yes,123.08969984794346
2009,47,2. HS Grad,1. Industrial,1. <=Good,1. Yes,90.48191335664015
2005,39,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2006,53,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2003,37,2. HS Grad,1. Industrial,1. <=Good,1. Yes,85.38394037898266
2003,52,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,191.57368354841194
2006,41,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2006,39,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2009,63,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,171.7651326275075
2007,23,2. HS Grad,1. Industrial,2. >=Very Good,2. No,73.45442826076209
2004,62,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2004,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,272.2947832200641
2004,29,2. HS Grad,1. Industrial,2. >=Very Good,2. No,102.87024693321467
2004,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2008,34,4. College Grad,2. Information,2. >=Very Good,2. No,123.08969984794346
2003,38,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,91.69922611170422
2005,25,4. College Grad,2. Information,2. >=Very Good,1. Yes,85.38394037898266
2005,64,2. HS Grad,2. Information,1. <=Good,1. Yes,109.83398564219921
2003,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,114.47571329034717
2009,46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,84.31576886457526
2006,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2003,33,3. Some College,1. Industrial,1. <=Good,2. No,57.35259107961768
2007,29,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2008,32,2. HS Grad,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2007,54,2. HS Grad,2. Information,1. <=Good,1. Yes,108.87452583471249
2005,40,2. HS Grad,1. Industrial,1. <=Good,1. Yes,65.1108537153447
2005,24,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2008,30,1. < HS Grad,1. Industrial,1. <=Good,2. No,70.81503861675567
2009,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,145.14360117691106
2006,47,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2008,25,2. HS Grad,1. Industrial,2. >=Very Good,2. No,84.04595765399237
2007,44,3. Some College,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2007,41,1. < HS Grad,2. Information,1. <=Good,1. Yes,97.49329404539341
2005,54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,154.68529299563002
2009,59,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.543262324662
2003,25,2. HS Grad,1. Industrial,2. >=Very Good,2. No,59.73422334074667
2009,63,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,91.69922611170422
2009,49,3. Some College,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2008,35,3. Some College,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2006,24,2. HS Grad,1. Industrial,1. <=Good,2. No,66.2294082943902
2003,66,2. HS Grad,1. Industrial,1. <=Good,1. Yes,92.89584478949662
2008,57,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2003,47,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2006,44,4. College Grad,1. Industrial,1. <=Good,1. Yes,132.48782112612304
2006,56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.11574381218446
2004,34,2. HS Grad,2. Information,1. <=Good,2. No,99.68946369848636
2006,23,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,40.40566525968448
2008,30,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,138.29912692088266
2004,38,3. Some College,1. Industrial,2. >=Very Good,2. No,102.87024693321467
2004,43,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,79.85490030934672
2007,58,3. Some College,2. Information,1. <=Good,1. Yes,111.7208493609888
2005,36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,62.19867943026103
2007,48,2. HS Grad,2. Information,1. <=Good,1. Yes,70.47601964694451
2005,35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,86.04280113019271
2006,22,2. HS Grad,2. Information,2. >=Very Good,2. No,99.68946369848636
2007,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,113.56708956975103
2004,58,1. < HS Grad,1. Industrial,1. <=Good,2. No,100.76427284210669
2003,20,2. HS Grad,2. Information,2. >=Very Good,2. No,61.18752643399147
2007,44,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,113.6127457264298
2003,50,4. College Grad,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2009,55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9235317007091
2003,39,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2008,32,4. College Grad,2. Information,2. >=Very Good,1. Yes,276.778413321176
2008,50,4. College Grad,2. Information,2. >=Very Good,2. No,148.4131591025766
2009,24,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,148.4131591025766
2009,53,3. Some College,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2003,35,2. HS Grad,2. Information,1. <=Good,2. No,81.28325328425272
2003,25,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,79.85490030934672
2006,24,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,57,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2005,43,1. < HS Grad,2. Information,1. <=Good,1. Yes,65.1108537153447
2009,33,3. Some College,2. Information,2. >=Very Good,1. Yes,88.29869947230574
2005,40,3. Some College,2. Information,2. >=Very Good,1. Yes,91.69922611170422
2008,39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2004,32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,70.47601964694451
2005,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,128.68048822062414
2004,29,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2005,35,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,98.59934386038917
2004,41,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,133.2323508265668
2009,52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2005,50,2. HS Grad,1. Industrial,1. <=Good,2. No,91.69922611170422
2004,35,4. College Grad,2. Information,2. >=Very Good,2. No,160.63549859685412
2007,27,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2004,57,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,114.47571329034717
2004,48,3. Some College,2. Information,2. >=Very Good,2. No,97.49329404539341
2009,41,3. Some College,2. Information,1. <=Good,1. Yes,98.04835050560037
2005,59,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2003,55,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,54,2. HS Grad,2. Information,1. <=Good,1. Yes,133.2323508265668
2003,34,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2009,43,2. HS Grad,2. Information,1. <=Good,1. Yes,73.77574327469462
2003,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2003,62,1. < HS Grad,1. Industrial,1. <=Good,2. No,62.030304606072555
2006,45,2. HS Grad,2. Information,2. >=Very Good,2. No,97.49329404539341
2004,40,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,145.8051633746247
2003,33,2. HS Grad,2. Information,2. >=Very Good,1. Yes,82.6796372966372
2005,45,5. Advanced Degree,2. Information,1. <=Good,1. Yes,148.4131591025766
2009,21,3. Some College,1. Industrial,2. >=Very Good,2. No,49.55533812152264
2009,54,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2003,43,4. College Grad,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2004,54,4. College Grad,1. Industrial,1. <=Good,1. Yes,127.11574381218446
2004,35,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,109.83398564219921
2008,23,3. Some College,1. Industrial,2. >=Very Good,1. Yes,61.5945831752282
2006,61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,111.44046956706838
2004,51,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,138.29912692088266
2006,43,3. Some College,1. Industrial,2. >=Very Good,1. Yes,127.11574381218446
2003,20,2. HS Grad,1. Industrial,2. >=Very Good,2. No,75.35567931800914
2007,51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,139.0034080594695
2009,65,2. HS Grad,2. Information,1. <=Good,1. Yes,118.88435933988579
2009,37,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2008,24,2. HS Grad,1. Industrial,2. >=Very Good,2. No,66.2330957333126
2003,36,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.29308207228812
2005,45,3. Some College,2. Information,2. >=Very Good,2. No,130.98217737746066
2008,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.778413321176
2009,36,2. HS Grad,1. Industrial,1. <=Good,2. No,86.91032773899464
2004,32,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2009,45,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2003,51,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2005,33,3. Some College,2. Information,2. >=Very Good,1. Yes,136.87636763518367
2003,47,3. Some College,1. Industrial,1. <=Good,1. Yes,84.04595765399237
2003,37,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,196.12527259425497
2008,41,3. Some College,2. Information,1. <=Good,1. Yes,121.43031382262248
2005,23,2. HS Grad,2. Information,2. >=Very Good,2. No,96.39779590235516
2009,57,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2006,61,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2007,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2003,29,4. College Grad,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2005,37,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2005,57,2. HS Grad,1. Industrial,1. <=Good,1. Yes,148.4131591025766
2004,39,5. Advanced Degree,2. Information,1. <=Good,2. No,81.28325328425272
2007,59,4. College Grad,2. Information,2. >=Very Good,1. Yes,145.8051633746247
2007,31,4. College Grad,2. Information,2. >=Very Good,1. Yes,149.05589558940366
2009,26,2. HS Grad,1. Industrial,1. <=Good,2. No,97.49329404539341
2009,51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.01975334000589
2006,38,2. HS Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2006,51,4. College Grad,2. Information,1. <=Good,2. No,118.88435933988579
2004,50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,79.85490030934672
2005,32,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2007,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.6424754082633
2005,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2005,40,3. Some College,2. Information,2. >=Very Good,1. Yes,73.77574327469462
2007,60,5. Advanced Degree,2. Information,1. <=Good,1. Yes,154.68529299563002
2007,30,4. College Grad,2. Information,2. >=Very Good,1. Yes,101.82435207567953
2003,41,4. College Grad,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2009,32,3. Some College,2. Information,1. <=Good,1. Yes,114.47571329034717
2009,26,4. College Grad,2. Information,2. >=Very Good,1. Yes,105.92781077506274
2004,41,3. Some College,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2008,53,2. HS Grad,1. Industrial,1. <=Good,1. Yes,134.70537511887878
2005,35,3. Some College,2. Information,2. >=Very Good,2. No,97.49329404539341
2008,50,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2004,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,171.7651326275075
2003,50,2. HS Grad,2. Information,1. <=Good,1. Yes,67.82678713199657
2009,19,2. HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2004,42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,91.69922611170422
2007,53,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,66.9616443217359
2004,22,3. Some College,2. Information,1. <=Good,2. No,95.23071256698191
2003,49,2. HS Grad,1. Industrial,1. <=Good,1. Yes,98.59934386038917
2005,33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,31,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2004,43,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,90.48191335664015
2009,57,5. Advanced Degree,2. Information,2. >=Very Good,2. No,109.83398564219921
2005,40,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,48,2. HS Grad,2. Information,2. >=Very Good,1. Yes,84.52946902485174
2004,46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,101.82435207567953
2009,58,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2003,50,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2005,38,3. Some College,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2004,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,101.4020523029919
2007,52,3. Some College,2. Information,2. >=Very Good,1. Yes,149.05589558940366
2004,48,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2006,53,5. Advanced Degree,2. Information,2. >=Very Good,2. No,160.6424754082633
2008,37,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2007,43,2. HS Grad,1. Industrial,2. >=Very Good,2. No,119.40520432240055
2008,54,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.90392386687648
2004,41,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,154.8683672315591
2005,57,4. College Grad,1. Industrial,1. <=Good,2. No,75.35567931800914
2007,54,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.539502533774
2009,25,2. HS Grad,1. Industrial,1. <=Good,1. Yes,76.89360251761123
2003,35,1. < HS Grad,2. Information,2. >=Very Good,2. No,62.19867943026103
2008,29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,182.0206209635125
2009,36,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,267.90108685527514
2005,43,4. College Grad,1. Industrial,1. <=Good,1. Yes,141.7751723331802
2007,41,4. College Grad,2. Information,2. >=Very Good,1. Yes,186.87667762800666
2003,52,4. College Grad,1. Industrial,2. >=Very Good,2. No,72.15045568157132
2005,48,2. HS Grad,1. Industrial,1. <=Good,2. No,49.55533812152264
2003,51,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2004,55,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2004,37,5. Advanced Degree,2. Information,2. >=Very Good,2. No,97.49329404539341
2007,48,3. Some College,1. Industrial,2. >=Very Good,1. Yes,111.7208493609888
2003,42,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2007,43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.11574381218446
2006,32,2. HS Grad,1. Industrial,1. <=Good,2. No,87.98103278560542
2006,33,4. College Grad,1. Industrial,1. <=Good,1. Yes,84.04595765399237
2003,48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,78.39246680098368
2009,20,3. Some College,2. Information,2. >=Very Good,2. No,46.36650274128621
2005,43,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,132.86076531157204
2003,58,2. HS Grad,2. Information,1. <=Good,1. Yes,61.5945831752282
2004,38,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2008,23,2. HS Grad,2. Information,2. >=Very Good,2. No,66.2294082943902
2009,54,2. HS Grad,1. Industrial,1. <=Good,1. Yes,108.87452583471249
2007,66,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2009,47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,152.83880099118213
2003,35,3. Some College,2. Information,1. <=Good,2. No,76.89360251761123
2008,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,143.13494081113438
2005,35,3. Some College,2. Information,2. >=Very Good,1. Yes,125.20428658029034
2006,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,75.61069586394702
2006,41,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2004,40,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2006,50,2. HS Grad,1. Industrial,1. <=Good,2. No,59.097064081589075
2004,35,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2009,43,3. Some College,1. Industrial,1. <=Good,2. No,95.23071256698191
2005,26,3. Some College,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2009,23,2. HS Grad,2. Information,2. >=Very Good,2. No,49.55533812152264
2003,61,5. Advanced Degree,2. Information,2. >=Very Good,2. No,130.98217737746066
2004,24,4. College Grad,2. Information,1. <=Good,1. Yes,43.735111677982104
2006,66,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2006,50,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,22,2. HS Grad,2. Information,1. <=Good,2. No,75.04315401735154
2004,62,2. HS Grad,2. Information,1. <=Good,1. Yes,91.69922611170422
2003,55,4. College Grad,2. Information,2. >=Very Good,1. Yes,105.92781077506274
2004,41,4. College Grad,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2005,54,4. College Grad,2. Information,2. >=Very Good,1. Yes,170.15683441780106
2009,29,4. College Grad,1. Industrial,2. >=Very Good,2. No,138.29912692088266
2004,39,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.82435207567953
2006,71,4. College Grad,2. Information,1. <=Good,2. No,87.98103278560542
2003,22,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,78.39246680098368
2007,48,4. College Grad,2. Information,2. >=Very Good,2. No,123.08969984794346
2009,35,3. Some College,1. Industrial,1. <=Good,1. Yes,116.26532406250342
2003,46,4. College Grad,1. Industrial,1. <=Good,2. No,90.48191335664015
2003,51,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,109.83398564219921
2005,55,2. HS Grad,2. Information,1. <=Good,1. Yes,104.92150653366392
2005,36,2. HS Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2008,57,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2005,21,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723331802
2006,60,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,128.68048822062414
2006,41,3. Some College,1. Industrial,1. <=Good,2. No,73.77574327469462
2004,56,4. College Grad,2. Information,1. <=Good,1. Yes,139.35381176749289
2005,32,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2003,32,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2006,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.90392386687648
2006,28,2. HS Grad,1. Industrial,1. <=Good,2. No,64.54207487329793
2009,60,5. Advanced Degree,2. Information,1. <=Good,2. No,138.29912692088266
2003,41,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846644714
2006,55,3. Some College,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2003,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2006,46,3. Some College,2. Information,2. >=Very Good,1. Yes,90.48191335664015
2008,62,2. HS Grad,1. Industrial,2. >=Very Good,2. No,89.49247951800011
2006,44,2. HS Grad,1. Industrial,2. >=Very Good,2. No,102.76628087728793
2006,36,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2004,41,2. HS Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2006,22,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2008,51,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,129.9836348188971
2008,57,1. < HS Grad,2. Information,1. <=Good,1. Yes,110.7826502762544
2005,55,2. HS Grad,2. Information,1. <=Good,1. Yes,114.47571329034717
2003,36,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2008,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.778413321176
2003,38,3. Some College,2. Information,1. <=Good,2. No,23.95294447899655
2006,27,3. Some College,2. Information,2. >=Very Good,2. No,103.90247060316008
2007,32,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2009,44,1. < HS Grad,1. Industrial,1. <=Good,2. No,71.68674366591722
2008,56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,276.778413321176
2007,38,4. College Grad,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2003,36,1. < HS Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2005,28,3. Some College,1. Industrial,2. >=Very Good,1. Yes,108.87452583471249
2005,39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,79.85490030934672
2008,42,2. HS Grad,2. Information,2. >=Very Good,2. No,78.98460618093215
2009,51,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796372966372
2004,55,2. HS Grad,2. Information,1. <=Good,1. Yes,89.49247951800011
2007,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.98217737746066
2003,42,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,109.70605181271083
2006,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,117.14681691480487
2008,23,2. HS Grad,2. Information,1. <=Good,1. Yes,73.77574327469462
2003,40,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2003,40,3. Some College,1. Industrial,1. <=Good,2. No,80.85819595646913
2009,51,3. Some College,1. Industrial,1. <=Good,1. Yes,107.90392386687648
2007,76,4. College Grad,1. Industrial,1. <=Good,1. Yes,76.89360251761123
2007,57,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2003,27,3. Some College,1. Industrial,2. >=Very Good,1. Yes,95.23071256698191
2005,26,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.04595765399237
2005,25,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2005,27,3. Some College,1. Industrial,2. >=Very Good,1. Yes,101.4020523029919
2004,33,3. Some College,2. Information,1. <=Good,1. Yes,87.98103278560542
2003,51,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2005,22,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2005,47,2. HS Grad,1. Industrial,1. <=Good,1. Yes,128.19963687179515
2009,34,3. Some College,2. Information,2. >=Very Good,1. Yes,136.51765522243596
2008,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.90392386687648
2005,31,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2005,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,91.69922611170422
2006,47,2. HS Grad,2. Information,2. >=Very Good,1. Yes,78.39246680098368
2006,49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,154.68529299563002
2003,40,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,136.1577108372299
2004,51,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2008,31,3. Some College,1. Industrial,2. >=Very Good,1. Yes,76.28327785396418
2003,58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,48,3. Some College,1. Industrial,2. >=Very Good,2. No,87.78843621545845
